County,Highway Type,Total,Fatality,Injury
ALAMEDA,Conventional,10,0,10
ALAMEDA,Expressway,0,0,0
ALAMEDA,Freeway,6,1,5
ALAMEDA,One-Way City Street,0,0,0
ALAMEDA,TOTAL,16,1,15
ALPINE,Conventional,3,0,3
ALPINE,Expressway,0,0,0
ALPINE,Freeway,0,0,0
ALPINE,One-Way City Street,0,0,0
ALPINE,TOTAL,3,0,3
AMADOR,Conventional,1,0,1
AMADOR,Expressway,0,0,0
AMADOR,Freeway,0,0,0
AMADOR,One-Way City Street,0,0,0
AMADOR,TOTAL,1,0,1
BUTTE,Conventional,3,0,3
BUTTE,Expressway,0,0,0
BUTTE,Freeway,0,0,0
BUTTE,One-Way City Street,1,0,1
BUTTE,TOTAL,4,0,4
CALAVERAS,Conventional,0,0,0
CALAVERAS,Expressway,0,0,0
CALAVERAS,Freeway,0,0,0
CALAVERAS,One-Way City Street,0,0,0
CALAVERAS,TOTAL,0,0,0
COLUSA,Conventional,0,0,0
COLUSA,Expressway,0,0,0
COLUSA,Freeway,0,0,0
COLUSA,One-Way City Street,0,0,0
COLUSA,TOTAL,0,0,0
CONTRA COSTA,Conventional,1,0,1
CONTRA COSTA,Expressway,0,0,0
CONTRA COSTA,Freeway,4,0,4
CONTRA COSTA,One-Way City Street,0,0,0
CONTRA COSTA,TOTAL,5,0,5
DEL NORTE,Conventional,1,0,1
DEL NORTE,Expressway,0,0,0
DEL NORTE,Freeway,0,0,0
DEL NORTE,One-Way City Street,0,0,0
DEL NORTE,TOTAL,1,0,1
EL DORADO,Conventional,3,0,3
EL DORADO,Expressway,0,0,0
EL DORADO,Freeway,0,0,0
EL DORADO,One-Way City Street,0,0,0
EL DORADO,TOTAL,3,0,3
FRESNO,Conventional,0,0,0
FRESNO,Expressway,0,0,0
FRESNO,Freeway,2,0,2
FRESNO,One-Way City Street,0,0,0
FRESNO,TOTAL,2,0,2
GLENN,Conventional,0,0,0
GLENN,Expressway,0,0,0
GLENN,Freeway,0,0,0
GLENN,One-Way City Street,0,0,0
GLENN,TOTAL,0,0,0
HUMBOLDT,Conventional,3,1,2
HUMBOLDT,Expressway,3,0,3
HUMBOLDT,Freeway,2,0,2
HUMBOLDT,One-Way City Street,0,0,0
HUMBOLDT,TOTAL,8,1,7
IMPERIAL,Conventional,2,0,2
IMPERIAL,Expressway,0,0,0
IMPERIAL,Freeway,0,0,0
IMPERIAL,One-Way City Street,0,0,0
IMPERIAL,TOTAL,2,0,2
INYO,Conventional,3,0,3
INYO,Expressway,0,0,0
INYO,Freeway,0,0,0
INYO,One-Way City Street,0,0,0
INYO,TOTAL,3,0,3
KERN,Conventional,5,1,4
KERN,Expressway,1,0,1
KERN,Freeway,2,0,2
KERN,One-Way City Street,0,0,0
KERN,TOTAL,8,1,7
KINGS,Conventional,1,0,1
KINGS,Expressway,0,0,0
KINGS,Freeway,0,0,0
KINGS,One-Way City Street,0,0,0
KINGS,TOTAL,1,0,1
LAKE,Conventional,1,0,1
LAKE,Expressway,0,0,0
LAKE,Freeway,0,0,0
LAKE,One-Way City Street,0,0,0
LAKE,TOTAL,1,0,1
LASSEN,Conventional,0,0,0
LASSEN,Expressway,0,0,0
LASSEN,Freeway,0,0,0
LASSEN,One-Way City Street,0,0,0
LASSEN,TOTAL,0,0,0
LOS ANGELES,Conventional,36,2,34
LOS ANGELES,Expressway,0,0,0
LOS ANGELES,Freeway,26,3,23
LOS ANGELES,One-Way City Street,0,0,0
LOS ANGELES,TOTAL,62,5,57
MADERA,Conventional,0,0,0
MADERA,Expressway,0,0,0
MADERA,Freeway,0,0,0
MADERA,One-Way City Street,0,0,0
MADERA,TOTAL,0,0,0
MARIN,Conventional,8,0,8
MARIN,Expressway,0,0,0
MARIN,Freeway,4,0,4
MARIN,One-Way City Street,0,0,0
MARIN,TOTAL,12,0,12
MARIPOSA,Conventional,0,0,0
MARIPOSA,Expressway,0,0,0
MARIPOSA,Freeway,0,0,0
MARIPOSA,One-Way City Street,0,0,0
MARIPOSA,TOTAL,0,0,0
MENDOCINO,Conventional,2,0,2
MENDOCINO,Expressway,0,0,0
MENDOCINO,Freeway,0,0,0
MENDOCINO,One-Way City Street,0,0,0
MENDOCINO,TOTAL,2,0,2
