COUNTY,LANE_TYPE,RURAL_URBAN,ROAD_MILES,TRAVEL_MVM,TOTAL_CRASHES,PDO_CRASHES,INJURY_CRASHES,FATAL_CRASHES,VICTIM_KILLED,VICTIM_INJURED,,,,,,,,,,,,,,,,,,,,,,
ALA,      2 AND 3 LN,RURAL ,6.0 ,43.5 ,41 ,18 ,22 ,1 ,2 ,44 ,,,,,,,,,,,,,,,,,,,,,,
ALA,      4+ UND,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALA,      4+ DIV,RURAL ,0.6 ,6.7 ,26 ,25 ,1 ,0 ,0 ,1 ,,,,,,,,,,,,,,,,,,,,,,
ALA,     SUBTOTAL,RURAL ,6.6 ,50.3 ,67 ,43 ,23 ,1 ,2 ,45 ,,,,,,,,,,,,,,,,,,,,,,
ALA,     2 AND 3 LN EXP,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALA,     4+ DIV EXP,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALA,     NON FWY,RURAL ,6.6 ,50.3 ,67 ,43 ,23 ,1 ,2 ,45 ,,,,,,,,,,,,,,,,,,,,,,
ALA,     FREEWAY,RURAL ,13.4 ,619.4 ,694 ,478 ,212 ,4 ,5 ,298 ,,,,,,,,,,,,,,,,,,,,,,
ALA,     TOTAL,RURAL ,20.0 ,669.7 ,761 ,521 ,235 ,5 ,7 ,343 ,,,,,,,,,,,,,,,,,,,,,,
ALA,      2 AND 3 LN,URBAN,8.1 ,57.8 ,38 ,17 ,21 ,0 ,0 ,33 ,,,,,,,,,,,,,,,,,,,,,,
ALA,      4+ UND,URBAN,6.8 ,54.5 ,95 ,42 ,51 ,2 ,2 ,75 ,,,,,,,,,,,,,,,,,,,,,,
ALA,      4+ DIV,URBAN,32.4 ,352.9 ,341 ,178 ,159 ,4 ,4 ,226 ,,,,,,,,,,,,,,,,,,,,,,
ALA,     SUBTOTAL,URBAN,47.3 ,465.2 ,474 ,237 ,231 ,6 ,6 ,334 ,,,,,,,,,,,,,,,,,,,,,,
ALA,     2 AND 3 LN EXP,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALA,     4+ DIV EXP,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALA,     NON FWY,URBAN,47.3 ,465.2 ,474 ,237 ,231 ,6 ,6 ,334 ,,,,,,,,,,,,,,,,,,,,,,
