county,state,population,population.1
CALIFORNIA,California,2022,"39,356,104"
ALAMEDA,California,2022,"1,663,823"
ALPINE,California,2022,"1,515"
AMADOR,California,2022,"40,577"
BUTTE,California,2022,"213,605"
CALAVERAS,California,2022,"45,674"
COLUSA,California,2022,"21,811"
CONTRA COSTA,California,2022,"1,162,648"
DEL NORTE,California,2022,"27,462"
EL DORADO,California,2022,"191,713"
FRESNO,California,2022,"1,008,280"
GLENN,California,2022,"28,657"
HUMBOLDT,California,2022,"136,132"
IMPERIAL,California,2022,"179,578"
INYO,California,2022,"18,829"
KERN,California,2022,"906,883"
KINGS,California,2022,"152,515"
LAKE,California,2022,"68,024"
LASSEN,California,2022,"31,873"
LOS ANGELES,California,2022,"9,936,690"
MADERA,California,2022,"157,243"
MARIN,California,2022,"260,485"
MARIPOSA,California,2022,"17,130"
MENDOCINO,California,2022,"91,145"
MERCED,California,2022,"282,290"
MODOC,California,2022,"8,651"
MONO,California,2022,"13,219"
MONTEREY,California,2022,"437,609"
NAPA,California,2022,"137,384"
NEVADA,California,2022,"102,322"
ORANGE,California,2022,"3,175,227"
PLACER,California,2022,"406,608"
PLUMAS,California,2022,"19,650"
RIVERSIDE,California,2022,"2,429,487"
SACRAMENTO,California,2022,"1,579,211"
SAN BENITO,California,2022,"64,753"
SAN BERNARDINO,California,2022,"2,180,563"
SAN DIEGO,California,2022,"3,289,701"
SAN FRANCISCO,California,2022,"851,036"
SAN JOAQUIN,California,2022,"779,445"
SAN LUIS OBISPO,California,2022,"281,712"
SAN MATEO,California,2022,"754,250"
SANTA BARBARA,California,2022,"445,213"
SANTA CLARA,California,2022,"1,916,831"
SANTA CRUZ,California,2022,"268,571"
SHASTA,California,2022,"181,852"
SIERRA,California,2022,"2,916"
SISKIYOU,California,2022,"44,049"
SOLANO,California,2022,"450,995"
SONOMA,California,2022,"488,436"
STANISLAUS,California,2022,"552,063"
SUTTER,California,2022,"99,101"
TEHAMA,California,2022,"65,484"
TRINITY,California,2022,"15,889"
TULARE,California,2022,"473,446"
TUOLUMNE,California,2022,"54,993"
VENTURA,California,2022,"842,009"
YOLO,California,2022,"217,141"
YUBA,California,2022,"81,705"
